,Image,Train Accuracy
0,M1_01_0_0,0.9583892822265625
1,M1_01_0_1,0.9583702087402344
2,M1_01_0_2,0.9583930969238281
3,M1_01_0_3,0.9583969116210938
4,M1_01_0_4,0.9499092102050781
5,M1_01_0_5,0.9461708068847656
6,M1_01_0_6,0.954620361328125
7,M1_01_1_0,0.9517936706542969
8,M1_01_1_1,0.9508857727050781
9,M1_01_1_2,0.95184326171875
10,M1_01_1_3,0.9518089294433594
11,M1_01_1_4,0.9704971313476562
12,M1_01_1_5,0.9765472412109375
13,M1_01_1_6,0.975341796875
14,M1_01_2_0,0.9843101501464844
15,M1_01_2_1,0.98431396484375
16,M1_01_2_2,0.9843063354492188
17,M1_01_2_3,0.9843101501464844
18,M1_01_2_4,0.9829978942871094
19,M1_01_2_5,0.9842071533203125
20,M1_01_2_6,0.9688911437988281
21,M1_01_3_0,0.907470703125
22,M1_01_3_1,0.9070053100585938
23,M1_01_3_2,0.9068679809570312
24,M1_01_3_3,0.9072265625
25,M1_01_3_4,0.9275588989257812
26,M1_01_3_5,0.9225311279296875
27,M1_01_3_6,0.9228553771972656
28,M1_02_0_0,0.9444427490234375
29,M1_02_0_1,0.9442787170410156
30,M1_02_0_2,0.944427490234375
31,M1_02_0_3,0.9444465637207031
32,M1_02_0_4,0.950469970703125
33,M1_02_0_5,0.949554443359375
34,M1_02_0_6,0.9353981018066406
35,M1_02_1_0,0.9347152709960938
36,M1_02_1_1,0.9347000122070312
37,M1_02_1_2,0.9346733093261719
38,M1_02_1_3,0.9346542358398438
39,M1_02_1_4,0.921844482421875
40,M1_02_1_5,0.9225311279296875
41,M1_02_1_6,0.9282608032226562
42,M1_02_2_0,0.940277099609375
43,M1_02_2_1,0.9395980834960938
44,M1_02_2_2,0.9392166137695312
45,M1_02_2_3,0.9402427673339844
46,M1_02_2_4,0.9582901000976562
47,M1_02_2_5,0.9460639953613281
48,M1_02_2_6,0.9572639465332031
49,M1_02_3_0,1.0
50,M1_02_3_1,1.0
51,M1_02_3_2,1.0
52,M1_02_3_3,1.0
53,M1_02_3_4,1.0
54,M1_02_3_5,1.0
55,M1_02_3_6,1.0
56,M1_03_0_0,0.9504814147949219
57,M1_03_0_1,0.9505615234375
58,M1_03_0_2,0.9505348205566406
59,M1_03_0_3,0.9505043029785156
60,M1_03_0_4,0.939544677734375
61,M1_03_0_5,0.94476318359375
62,M1_03_0_6,0.9377250671386719
63,M1_03_1_0,0.9009628295898438
64,M1_03_1_1,0.899566650390625
65,M1_03_1_2,0.9010848999023438
66,M1_03_1_3,0.9009971618652344
67,M1_03_1_4,0.8979339599609375
68,M1_03_1_5,0.8985862731933594
69,M1_03_1_6,0.913299560546875
70,M1_03_2_0,0.9414100646972656
71,M1_03_2_1,0.9415359497070312
72,M1_03_2_2,0.9410591125488281
73,M1_03_2_3,0.9414176940917969
74,M1_03_2_4,0.9178619384765625
75,M1_03_2_5,0.9326515197753906
76,M1_03_2_6,0.9230804443359375
77,M1_03_3_0,0.9437522888183594
78,M1_03_3_1,0.9437751770019531
79,M1_03_3_2,0.9437789916992188
80,M1_03_3_3,0.9437522888183594
81,M1_03_3_4,0.9399795532226562
82,M1_03_3_5,0.94659423828125
83,M1_03_3_6,0.9427452087402344
84,M1_04_0_0,0.9401817321777344
85,M1_04_0_1,0.9398880004882812
86,M1_04_0_2,0.9401931762695312
87,M1_04_0_3,0.9401588439941406
88,M1_04_0_4,0.9669570922851562
89,M1_04_0_5,0.9612579345703125
90,M1_04_0_6,0.9545135498046875
91,M1_04_1_0,0.9591102600097656
92,M1_04_1_1,0.9590187072753906
93,M1_04_1_2,0.9591865539550781
94,M1_04_1_3,0.9590568542480469
95,M1_04_1_4,0.9885025024414062
96,M1_04_1_5,0.9658775329589844
97,M1_04_1_6,0.9729690551757812
98,M1_04_2_0,0.9275588989257812
99,M1_04_2_1,0.9272308349609375
100,M1_04_2_2,0.9274673461914062
101,M1_04_2_3,0.9275360107421875
102,M1_04_2_4,0.9201774597167969
103,M1_04_2_5,0.9139366149902344
104,M1_04_2_6,0.919586181640625
105,M1_04_3_0,0.9496726989746094
106,M1_04_3_1,0.9415054321289062
107,M1_04_3_2,0.9496688842773438
108,M1_04_3_3,0.9496574401855469
109,M1_04_3_4,0.9505729675292969
110,M1_04_3_5,0.9640693664550781
111,M1_04_3_6,0.9477996826171875
112,M1_05_0_0,0.9115333557128906
113,M1_05_0_1,0.9111442565917969
114,M1_05_0_2,0.9114189147949219
115,M1_05_0_3,0.9115066528320312
116,M1_05_0_4,0.9104881286621094
117,M1_05_0_5,0.9114112854003906
118,M1_05_0_6,0.9111824035644531
119,M1_05_1_0,0.93994140625
120,M1_05_1_1,0.9399566650390625
121,M1_05_1_2,0.939971923828125
122,M1_05_1_3,0.93994140625
123,M1_05_1_4,0.9408340454101562
124,M1_05_1_5,0.9399299621582031
125,M1_05_1_6,0.9401435852050781
126,M1_05_2_0,0.972686767578125
127,M1_05_2_1,0.9726715087890625
128,M1_05_2_2,0.9726104736328125
129,M1_05_2_3,0.9726829528808594
130,M1_05_2_4,0.9828071594238281
131,M1_05_2_5,0.9724807739257812
132,M1_05_2_6,0.9699897766113281
133,M1_05_3_0,0.9701118469238281
134,M1_05_3_1,0.970001220703125
135,M1_05_3_2,0.9701042175292969
136,M1_05_3_3,0.9700546264648438
137,M1_05_3_4,0.9605751037597656
138,M1_05_3_5,0.9729995727539062
139,M1_05_3_6,0.9692840576171875
140,M1_07_0_0,0.9704322814941406
141,M1_07_0_1,0.9704399108886719
142,M1_07_0_2,0.9704170227050781
143,M1_07_0_3,0.9704208374023438
144,M1_07_0_4,0.9704017639160156
145,M1_07_0_5,0.9703598022460938
146,M1_07_0_6,0.9704170227050781
147,M1_07_1_0,0.9691429138183594
148,M1_07_1_1,0.9692459106445312
149,M1_07_1_2,0.9692306518554688
150,M1_07_1_3,0.9692039489746094
151,M1_07_1_4,0.965179443359375
152,M1_07_1_5,0.9940261840820312
153,M1_07_1_6,0.9937820434570312
154,M1_07_2_0,0.8656044006347656
155,M1_07_2_1,0.865509033203125
156,M1_07_2_2,0.865814208984375
157,M1_07_2_3,0.8655624389648438
158,M1_07_2_4,0.8615074157714844
159,M1_07_2_5,0.8265151977539062
160,M1_07_2_6,0.8364601135253906
161,M1_07_3_0,0.9522285461425781
162,M1_07_3_1,0.9508247375488281
163,M1_07_3_2,0.9520416259765625
164,M1_07_3_3,0.9522285461425781
165,M1_07_3_4,0.963287353515625
166,M1_07_3_5,0.9534111022949219
167,M1_07_3_6,0.9417610168457031
168,M1_08_0_0,0.9707412719726562
169,M1_08_0_1,0.9709625244140625
170,M1_08_0_2,0.97088623046875
171,M1_08_0_3,0.9708290100097656
172,M1_08_0_4,0.9863166809082031
173,M1_08_0_5,0.9691314697265625
174,M1_08_0_6,0.9897880554199219
175,M1_08_1_0,0.9913787841796875
176,M1_08_1_1,0.9914054870605469
177,M1_08_1_2,0.99114990234375
178,M1_08_1_3,0.9913482666015625
179,M1_08_1_4,0.9977989196777344
180,M1_08_1_5,0.9995536804199219
181,M1_08_1_6,0.9841232299804688
182,M1_08_2_0,0.9384117126464844
183,M1_08_2_1,0.9384346008300781
184,M1_08_2_2,0.9384765625
185,M1_08_2_3,0.9383926391601562
186,M1_08_2_4,0.9384193420410156
187,M1_08_2_5,0.9383583068847656
188,M1_08_2_6,0.9383506774902344
189,M1_08_3_0,0.918670654296875
190,M1_08_3_1,0.9185371398925781
191,M1_08_3_2,0.9185409545898438
192,M1_08_3_3,0.9186668395996094
193,M1_08_3_4,0.9156723022460938
194,M1_08_3_5,0.9104156494140625
195,M1_08_3_6,0.9201583862304688
196,M1_09_0_0,0.9681549072265625
197,M1_09_0_1,0.9681892395019531
198,M1_09_0_2,0.9681968688964844
199,M1_09_0_3,0.9681167602539062
200,M1_09_0_4,0.9704246520996094
201,M1_09_0_5,0.9935340881347656
202,M1_09_0_6,0.9679069519042969
203,M1_09_1_0,0.9324836730957031
204,M1_09_1_1,0.9306259155273438
205,M1_09_1_2,0.9323768615722656
206,M1_09_1_3,0.9324684143066406
207,M1_09_1_4,0.93634033203125
208,M1_09_1_5,0.9482574462890625
209,M1_09_1_6,0.9219207763671875
210,M1_09_2_0,0.875762939453125
211,M1_09_2_1,0.8754692077636719
212,M1_09_2_2,0.8759307861328125
213,M1_09_2_3,0.8757896423339844
214,M1_09_2_4,0.8854484558105469
215,M1_09_2_5,0.90576171875
216,M1_09_2_6,0.8840446472167969
217,M1_09_3_0,0.9252777099609375
218,M1_09_3_1,0.923126220703125
219,M1_09_3_2,0.9254074096679688
220,M1_09_3_3,0.9252052307128906
221,M1_09_3_4,0.9455642700195312
222,M1_09_3_5,0.9131622314453125
223,M1_09_3_6,0.923126220703125
224,M1_11_0_0,0.9215087890625
225,M1_11_0_1,0.9214134216308594
226,M1_11_0_2,0.9214935302734375
227,M1_11_0_3,0.9215316772460938
228,M1_11_0_4,0.9214591979980469
229,M1_11_0_5,0.9214248657226562
230,M1_11_0_6,0.9212493896484375
231,M1_11_1_0,0.9639167785644531
232,M1_11_1_1,0.9639701843261719
233,M1_11_1_2,0.9638633728027344
234,M1_11_1_3,0.9640159606933594
235,M1_11_1_4,0.9539375305175781
236,M1_11_1_5,0.9521484375
237,M1_11_1_6,0.9507713317871094
238,M1_11_2_0,0.9258995056152344
239,M1_11_2_1,0.9259071350097656
240,M1_11_2_2,0.9258460998535156
241,M1_11_2_3,0.9259109497070312
242,M1_11_2_4,0.9112968444824219
243,M1_11_2_5,0.92578125
244,M1_11_2_6,0.9112319946289062
245,M1_11_3_0,0.9511871337890625
246,M1_11_3_1,0.9508743286132812
247,M1_11_3_2,0.9512367248535156
248,M1_11_3_3,0.9511528015136719
249,M1_11_3_4,0.9557647705078125
250,M1_11_3_5,0.9573593139648438
251,M1_11_3_6,0.9494514465332031
252,M1_12_0_0,0.9162406921386719
253,M1_12_0_1,0.9158782958984375
254,M1_12_0_2,0.9159889221191406
255,M1_12_0_3,0.9162406921386719
256,M1_12_0_4,0.9078559875488281
257,M1_12_0_5,0.9068183898925781
258,M1_12_0_6,0.9103012084960938
259,M1_12_1_0,0.8929901123046875
260,M1_12_1_1,0.8930587768554688
261,M1_12_1_2,0.89300537109375
262,M1_12_1_3,0.8929595947265625
263,M1_12_1_4,0.8926353454589844
264,M1_12_1_5,0.8914947509765625
265,M1_12_1_6,0.8929328918457031
266,M1_12_2_0,0.9747085571289062
267,M1_12_2_1,0.9747238159179688
268,M1_12_2_2,0.9747161865234375
269,M1_12_2_3,0.9747085571289062
270,M1_12_2_4,0.9746780395507812
271,M1_12_2_5,0.974700927734375
272,M1_12_2_6,0.9746322631835938
273,M1_12_3_0,0.9710845947265625
274,M1_12_3_1,0.9710807800292969
275,M1_12_3_2,0.9710845947265625
276,M1_12_3_3,0.9710884094238281
277,M1_12_3_4,0.9664955139160156
278,M1_12_3_5,0.9710350036621094
279,M1_12_3_6,0.9636993408203125
280,M1_13_0_0,0.96405029296875
281,M1_13_0_1,0.96392822265625
282,M1_13_0_2,0.9639968872070312
283,M1_13_0_3,0.9640464782714844
284,M1_13_0_4,0.9633255004882812
285,M1_13_0_5,0.9682464599609375
286,M1_13_0_6,0.9803428649902344
287,M1_13_1_0,1.0
288,M1_13_1_1,1.0
289,M1_13_1_2,1.0
290,M1_13_1_3,1.0
291,M1_13_1_4,1.0
292,M1_13_1_5,0.9844512939453125
293,M1_13_1_6,1.0
294,M1_13_2_0,0.9223976135253906
295,M1_13_2_1,0.9224281311035156
296,M1_13_2_2,0.9223747253417969
297,M1_13_2_3,0.9224090576171875
298,M1_13_2_4,0.9305229187011719
299,M1_13_2_5,0.9471092224121094
300,M1_13_2_6,0.953643798828125
301,M1_13_3_0,0.9680900573730469
302,M1_13_3_1,0.96807861328125
